id,instrumentName,localDate,localTime,co,o3,no2,so2,no,voc,pm2p5,pm10,rh,pressure,sensorTemp,heaterTemp,internalTemp,timeRec,dateUTC,timeUTC,alarms
71519,"EMBA-Uniting Reformed Churc",2023/08/28,12:20,0.67,55.26,0.0,0.0,0.0,0.0,7.56,293.66,25.31,104.25,26.72,15.95,24.84,1693232405,2023/08/28,14:20,0x00000000
71520,"EMBA-Uniting Reformed Churc",2023/08/28,12:25,0.64,69.66,0.0,0.0,0.0,0.0,5.48,204.71,25.43,106.54,26.97,18.63,26.83,1693232705,2023/08/28,14:25,0x00000000
71521,"EMBA-Uniting Reformed Churc",2023/08/28,12:30,0.55,68.09,0.0,0.0,0.0,0.0,3.69,167.51,25.75,106.5,27.07,19.09,29.29,1693233005,2023/08/28,14:30,0x00000000
71522,Grootbos,2023/08/28,12:35,0.5,60.62,0.0,0.0,0.0,0.0,2.85,141.37,25.19,106.5,27.48,24.09,30.71,1693233305,2023/08/28,14:35,0x00000000
71523,Grootbos,2023/08/28,12:40,0.53,71.3,0.0,0.0,0.0,0.0,4.29,188.85,25.36,106.49,27.84,24.17,31.24,1693233605,2023/08/28,14:40,0x00000000
71524,Grootbos,2023/08/28,12:45,0.54,68.54,0.0,0.0,0.0,0.0,4.54,191.37,24.74,106.47,28.42,24.3,32.0,1693233905,2023/08/28,14:45,0x00000000
71525,Grootbos,2023/08/28,12:50,0.55,64.64,0.0,0.0,0.0,0.0,7.21,245.9,23.98,106.46,29.0,24.44,32.69,1693234205,2023/08/28,14:50,0x00000000
71526,Grootbos,2023/08/28,12:55,0.53,64.32,0.0,0.0,0.0,0.0,4.06,134.9,23.19,106.45,29.56,24.54,33.3,1693234505,2023/08/28,14:55,0x00000000
71527,Grootbos,2023/08/28,13:00,0.53,65.33,0.0,0.0,0.0,0.0,3.78,131.94,22.87,106.45,30.06,24.62,33.81,1693234805,2023/08/28,15:00,0x00000000
71528,Grootbos,2023/08/28,13:05,0.51,60.64,0.0,0.0,0.0,0.0,3.1,120.95,22.18,106.45,30.52,24.68,34.26,1693235105,2023/08/28,15:05,0x00000000
71529,Grootbos,2023/08/28,13:10,0.49,63.11,0.0,0.0,0.0,0.0,2.7,127.46,21.65,106.44,30.92,24.76,34.66,1693235405,2023/08/28,15:10,0x00000000
71530,Grootbos,2023/08/28,13:15,0.48,64.87,0.0,0.0,0.0,0.0,3.71,143.37,21.65,106.44,31.29,24.81,35.04,1693235705,2023/08/28,15:15,0x00000000
71531,Grootbos,2023/08/28,13:20,0.47,64.17,0.0,0.0,0.0,0.0,2.89,122.52,21.27,106.45,31.63,24.85,35.39,1693236005,2023/08/28,15:20,0x00000000
71532,Grootbos,2023/08/28,13:25,0.45,63.1,0.0,0.0,0.0,0.0,2.91,120.38,20.6,106.42,31.95,24.89,35.7,1693236305,2023/08/28,15:25,0x00000000
71533,Grootbos,2023/08/28,13:30,0.44,67.7,0.0,0.0,0.0,0.0,3.42,144.6,20.4,106.4,32.24,24.9,35.96,1693236605,2023/08/28,15:30,0x00000000
71534,Grootbos,2023/08/28,13:35,0.43,64.85,0.0,0.0,0.0,0.0,2.32,93.77,20.07,106.41,32.48,24.9,36.18,1693236905,2023/08/28,15:35,0x00000000
71535,Grootbos,2023/08/28,13:40,0.41,65.31,0.0,0.0,0.0,0.0,2.02,94.75,19.68,106.41,32.68,24.92,36.38,1693237205,2023/08/28,15:40,0x00000000
71536,Grootbos,2023/08/28,13:45,0.4,64.81,0.0,0.0,0.0,0.0,3.27,148.33,19.57,106.4,32.87,24.94,36.56,1693237505,2023/08/28,15:45,0x00000000
71537,Grootbos,2023/08/28,13:50,0.4,66.36,0.0,0.0,0.0,0.0,3.47,141.79,19.56,106.39,33.06,24.93,36.72,1693237805,2023/08/28,15:50,0x00000000
71538,Grootbos,2023/08/28,13:55,0.39,64.52,0.0,0.0,0.0,0.0,2.6,111.05,19.34,106.4,33.2,24.94,36.85,1693238105,2023/08/28,15:55,0x00000000
71539,Grootbos,2023/08/28,14:00,0.38,68.76,0.0,0.0,0.0,0.0,3.16,123.26,19.14,106.39,33.35,24.94,37.0,1693238405,2023/08/28,16:00,0x00000000
71540,Grootbos,2023/08/28,14:05,0.4,56.87,13.34,0.0,0.0,0.0,4.59,157.69,18.89,106.39,33.5,24.94,37.15,1693238705,2023/08/28,16:05,0x00000000
71541,Grootbos,2023/08/28,14:10,0.4,55.1,17.43,0.0,0.0,0.0,2.34,100.74,18.75,106.39,33.65,24.94,37.3,1693239005,2023/08/28,16:10,0x00000000
71542,Grootbos,2023/08/28,14:15,0.4,66.41,5.19,0.0,0.0,0.0,6.22,224.5,18.76,106.38,33.79,24.94,37.45,1693239305,2023/08/28,16:15,0x00000000
71543,Grootbos,2023/08/28,14:20,0.41,68.97,4.96,0.0,0.0,0.0,8.37,331.1,18.52,106.37,33.9,24.94,37.56,1693239605,2023/08/28,16:20,0x00000000
71544,Grootbos,2023/08/28,14:25,0.42,64.36,10.07,0.0,0.0,0.0,6.41,219.34,18.69,106.36,34.0,24.94,37.63,1693239905,2023/08/28,16:25,0x00000000
71545,Grootbos,2023/08/28,14:30,0.43,71.18,3.01,0.0,0.0,0.0,2.74,107.17,18.38,106.37,34.06,24.9,37.68,1693240205,2023/08/28,16:30,0x00000000
71546,Grootbos,2023/08/28,14:35,0.43,66.6,8.42,0.0,0.0,0.0,10.55,417.55,18.49,106.35,34.09,24.93,37.7,1693240505,2023/08/28,16:35,0x00000000
71547,Grootbos,2023/08/28,14:40,0.44,65.1,15.1,0.0,0.0,0.0,7.75,249.63,18.59,106.35,34.15,24.93,37.76,1693240805,2023/08/28,16:40,0x00000000
71548,Grootbos,2023/08/28,14:45,0.46,63.39,21.92,0.0,0.0,0.0,6.98,295.24,19.1,106.35,34.22,24.94,37.82,1693241105,2023/08/28,16:45,0x00000000
71549,Grootbos,2023/08/28,14:50,0.46,63.55,5.78,0.0,0.0,0.0,6.21,195.24,18.35,106.35,34.28,24.93,37.87,1693241405,2023/08/28,16:50,0x00000000
71550,Grootbos,2023/08/28,14:55,0.46,67.01,6.5,0.0,0.0,0.0,3.85,139.4,18.14,106.35,34.33,24.9,37.91,1693241705,2023/08/28,16:55,0x00000000
71551,Grootbos,2023/08/28,15:00,0.46,65.3,14.33,0.0,0.0,0.0,4.93,206.86,18.44,106.35,34.35,24.91,37.93,1693242005,2023/08/28,17:00,0x00000000
71552,Grootbos,2023/08/28,15:05,0.46,66.71,14.18,0.0,0.0,0.0,8.17,274.71,18.48,106.36,34.36,24.9,37.92,1693242305,2023/08/28,17:05,0x00000000
71553,Grootbos,2023/08/28,15:10,0.45,67.77,13.85,0.0,0.0,0.0,7.39,279.68,18.47,106.36,34.33,24.9,37.89,1693242605,2023/08/28,17:10,0x00000000
71554,Grootbos,2023/08/28,15:15,0.44,67.36,14.65,0.0,0.0,0.0,8.23,292.86,18.54,106.36,34.3,24.89,37.85,1693242905,2023/08/28,17:15,0x00000000
71555,Grootbos,2023/08/28,15:20,0.44,64.62,7.83,0.0,0.0,0.0,6.02,235.37,18.3,106.36,34.28,24.89,37.82,1693243205,2023/08/28,17:20,0x00000000
71556,Grootbos,2023/08/28,15:25,0.43,63.34,15.8,0.0,0.0,0.0,7.71,192.27,18.27,106.36,34.27,24.87,37.8,1693243505,2023/08/28,17:25,0x00000000
71557,Grootbos,2023/08/28,15:30,0.43,63.47,14.97,0.0,0.0,0.0,5.17,179.34,18.43,106.36,34.27,24.86,37.79,1693243805,2023/08/28,17:30,0x00000000
71558,Grootbos,2023/08/28,15:35,0.43,61.33,17.3,0.0,0.0,0.0,10.82,387.17,18.7,106.36,34.24,24.87,37.76,1693244105,2023/08/28,17:35,0x00000000
71559,Grootbos,2023/08/28,15:40,0.42,63.09,13.88,0.0,0.0,0.0,6.82,260.33,18.45,106.36,34.2,24.87,37.71,1693244405,2023/08/28,17:40,0x00000000
71560,Grootbos,2023/08/28,15:45,0.42,63.65,14.44,0.0,0.0,0.0,4.37,193.62,18.39,106.36,34.14,24.87,37.65,1693244705,2023/08/28,17:45,0x00000000
71561,Grootbos,2023/08/28,15:50,0.41,62.45,20.83,4.54,0.0,0.0,4.33,161.0,18.68,106.36,34.09,24.86,37.58,1693245005,2023/08/28,17:50,0x00000000
71562,Grootbos,2023/08/28,15:55,0.42,56.33,24.09,10.01,0.0,0.0,5.97,262.53,18.95,106.36,34.03,24.86,37.51,1693245305,2023/08/28,17:55,0x00000000
71563,Grootbos,2023/08/28,16:00,0.41,60.79,21.45,4.55,0.0,0.0,6.33,338.92,18.82,106.37,33.97,24.88,37.44,1693245605,2023/08/28,18:00,0x00000000
71564,Grootbos,2023/08/28,16:05,0.41,59.14,23.8,11.27,0.0,0.0,3.83,184.04,19.05,106.36,33.91,24.87,37.36,1693245905,2023/08/28,18:05,0x00000000
71565,Grootbos,2023/08/28,16:10,0.41,58.53,25.68,16.1,0.0,0.0,7.45,291.78,19.22,106.36,33.84,24.86,37.28,1693246205,2023/08/28,18:10,0x00000000
71566,Grootbos,2023/08/28,16:15,0.42,53.38,31.15,33.34,0.0,0.0,3.87,177.64,19.91,106.36,33.76,24.86,37.2,1693246505,2023/08/28,18:15,0x00000000
71567,Grootbos,2023/08/28,16:20,0.42,60.32,23.29,21.47,0.0,0.0,5.31,268.85,19.72,106.36,33.7,24.83,37.1,1693246805,2023/08/28,18:20,0x00000000
71568,Grootbos,2023/08/28,16:25,0.42,59.91,21.15,13.35,0.0,0.0,7.25,272.26,19.57,106.36,33.58,24.84,36.98,1693247105,2023/08/28,18:25,0x00000000
71569,Grootbos,2023/08/28,16:30,0.41,60.18,24.01,21.47,0.0,0.0,6.56,329.59,19.86,106.36,33.47,24.84,36.86,1693247405,2023/08/28,18:30,0x00000000
71570,Grootbos,2023/08/28,16:35,0.41,58.26,26.46,24.75,0.0,0.0,9.72,449.12,19.99,106.36,33.33,24.84,36.71,1693247705,2023/08/28,18:35,0x00000000
71571,Grootbos,2023/08/28,16:40,0.41,59.47,23.66,26.68,0.0,0.0,9.69,382.87,20.23,106.36,33.21,24.84,36.57,1693248005,2023/08/28,18:40,0x00000000
71572,Grootbos,2023/08/28,16:45,0.41,60.59,24.54,29.93,0.0,0.0,7.46,379.06,20.42,106.36,33.1,24.83,36.43,1693248305,2023/08/28,18:45,0x00000000
71573,Grootbos,2023/08/28,16:50,0.41,54.82,28.51,29.19,0.0,0.0,8.46,380.64,20.45,106.36,32.95,24.83,36.28,1693248605,2023/08/28,18:50,0x00000000
71574,Grootbos,2023/08/28,16:55,0.42,55.39,27.99,29.55,0.0,0.0,12.08,482.54,20.57,106.36,32.79,24.83,36.1,1693248905,2023/08/28,18:55,0x00000000
71575,Grootbos,2023/08/28,17:00,0.43,53.66,25.02,31.18,0.0,0.0,11.71,476.66,20.87,106.36,32.64,24.82,35.92,1693249205,2023/08/28,19:00,0x00000000
