id,instrumentName,localDate,localTime,co,o3,no2,so2,no,voc,pm2p5,pm10,rh,pressure,sensorTemp,heaterTemp,internalTemp,timeRec,dateUTC,timeUTC,alarms
74660,Grootbos,2023/09/08,10:05,0.62,57.05,0.0,0.0,0.0,0.0,13.01,445.89,32.47,105.5,32.15,25.0,35.88,1694174705,2023/09/08,12:05,0x00000000
74661,Grootbos,2023/09/08,10:10,0.6,61.98,0.0,0.0,0.0,0.0,19.11,447.45,32.27,105.51,32.37,25.0,36.1,1694175005,2023/09/08,12:10,0x00000000
74662,Grootbos,2023/09/08,10:15,0.57,55.81,0.0,0.0,0.0,0.0,6.78,266.67,31.67,105.51,32.57,25.0,36.29,1694175305,2023/09/08,12:15,0x00000000
74663,Grootbos,2023/09/08,10:20,0.54,58.16,0.0,0.0,0.0,0.0,13.3,347.39,30.64,105.51,32.75,25.01,36.48,1694175605,2023/09/08,12:20,0x00000000
74664,Grootbos,2023/09/08,10:25,0.52,58.48,0.0,0.0,0.0,0.0,7.67,247.3,30.2,105.52,32.94,25.01,36.68,1694175905,2023/09/08,12:25,0x00000000
74665,Grootbos,2023/09/08,10:30,0.5,66.88,0.0,0.0,0.0,0.0,7.86,341.14,30.58,105.52,33.15,25.01,36.91,1694176205,2023/09/08,12:30,0x00000000
74666,Grootbos,2023/09/08,10:35,0.49,59.75,0.0,0.0,0.0,0.0,4.83,164.16,29.69,105.5,33.37,25.02,37.18,1694176505,2023/09/08,12:35,0x00000000
74667,Grootbos,2023/09/08,10:40,0.48,66.32,0.0,0.0,0.0,0.0,17.55,407.3,29.46,105.5,33.63,25.03,37.47,1694176805,2023/09/08,12:40,0x00000000
74668,Grootbos,2023/09/08,10:45,0.47,55.14,0.0,0.0,0.0,0.0,11.4,444.69,28.72,105.5,33.91,25.04,37.78,1694177105,2023/09/08,12:45,0x00000000
74669,Grootbos,2023/09/08,10:50,0.45,61.89,0.0,0.0,0.0,0.0,8.93,390.77,28.27,105.5,34.2,25.05,38.1,1694177405,2023/09/08,12:50,0x00000000
74670,Grootbos,2023/09/08,10:55,0.42,36.38,0.0,0.0,0.0,0.0,12.88,512.94,25.71,105.49,34.47,25.06,38.39,1694177705,2023/09/08,12:55,0x00000000
74671,Grootbos,2023/09/08,11:00,0.38,60.33,0.0,0.0,0.0,0.0,13.97,557.94,25.4,105.49,34.75,25.07,38.68,1694178005,2023/09/08,13:00,0x00000000
74672,Grootbos,2023/09/08,11:05,0.37,64.19,0.0,0.0,0.0,0.0,7.04,352.17,26.05,105.48,35.03,25.08,38.98,1694178305,2023/09/08,13:05,0x00000000
74673,Grootbos,2023/09/08,11:10,0.37,63.21,0.0,0.0,0.0,0.0,8.07,443.31,25.81,105.47,35.33,25.09,39.29,1694178605,2023/09/08,13:10,0x00000000
74674,Grootbos,2023/09/08,11:15,0.36,51.28,0.0,0.0,0.0,0.0,7.18,438.04,24.76,105.46,35.62,25.1,39.59,1694178905,2023/09/08,13:15,0x00000000
74675,Grootbos,2023/09/08,11:20,0.3,30.83,0.0,0.0,0.0,0.0,8.92,587.49,21.8,105.45,35.89,25.11,39.85,1694179205,2023/09/08,13:20,0x00000000
